year	state	district	crop	season	area	production
1999	RAJASTHAN 	AJMER	Wheat	Rabi	40412	41161
1999	RAJASTHAN 	ALWAR	Wheat	Rabi	193916	645632
1999	RAJASTHAN 	BANSWARA	Wheat	Rabi	60696	111822
1999	RAJASTHAN 	BAREN	Wheat	Rabi	88542	240958
1999	RAJASTHAN 	BARMER	Wheat	Rabi	19334	49112
1999	RAJASTHAN 	BHARATPUR	Wheat	Rabi	141989	541411
1999	RAJASTHAN 	BHILWARA	Wheat	Rabi	63638	148710
1999	RAJASTHAN 	BIKANER	Wheat	Rabi	70628	99702
1999	RAJASTHAN 	BUNDI	Wheat	Rabi	121878	269295
1999	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	89577	244684
1999	RAJASTHAN 	CHURU	Wheat	Rabi	23878	60654
1999	RAJASTHAN 	DAUSA	Wheat	Rabi	97812	309496
1999	RAJASTHAN 	DHOLPUR	Wheat	Rabi	52097	139835
1999	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	21620	32114
1999	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	267339	813056
1999	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	218458	764163
1999	RAJASTHAN 	JAIPUR	Wheat	Rabi	189090	400213
1999	RAJASTHAN 	JAISALMER	Wheat	Rabi	16836	42766
1999	RAJASTHAN 	JALORE	Wheat	Rabi	41077	61666
1999	RAJASTHAN 	JHALAWAR	Wheat	Rabi	74907	221779
1999	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	65946	141818
1999	RAJASTHAN 	JODHPUR	Wheat	Rabi	44500	55060
1999	RAJASTHAN 	KARAULI	Wheat	Rabi	64145	216835
1999	RAJASTHAN 	KOTA	Wheat	Rabi	103111	318989
1999	RAJASTHAN 	NAGAUR	Wheat	Rabi	88991	55037
1999	RAJASTHAN 	PALI	Wheat	Rabi	72496	98455
1999	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	12003	17313
1999	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	75275	185096
1999	RAJASTHAN 	SIKAR	Wheat	Rabi	89379	189196
1999	RAJASTHAN 	SIROHI	Wheat	Rabi	18603	28780
1999	RAJASTHAN 	TONK	Wheat	Rabi	89880	114307
1999	RAJASTHAN 	UDAIPUR	Wheat	Rabi	32134	72816
2000	RAJASTHAN 	AJMER	Wheat	Rabi	34280	41829
2000	RAJASTHAN 	ALWAR	Wheat	Rabi	202992	724108
2000	RAJASTHAN 	BANSWARA	Wheat	Rabi	35623	49590
2000	RAJASTHAN 	BAREN	Wheat	Rabi	89194	186595
2000	RAJASTHAN 	BARMER	Wheat	Rabi	15363	36898
2000	RAJASTHAN 	BHARATPUR	Wheat	Rabi	171639	605340
2000	RAJASTHAN 	BHILWARA	Wheat	Rabi	50381	95371
2000	RAJASTHAN 	BIKANER	Wheat	Rabi	44656	49099
2000	RAJASTHAN 	BUNDI	Wheat	Rabi	103745	259176
2000	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	51503	129286
2000	RAJASTHAN 	CHURU	Wheat	Rabi	17615	42306
2000	RAJASTHAN 	DAUSA	Wheat	Rabi	95200	270712
2000	RAJASTHAN 	DHOLPUR	Wheat	Rabi	31501	115721
2000	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	10107	26750
2000	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	218401	537028
2000	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	202958	519657
2000	RAJASTHAN 	JAIPUR	Wheat	Rabi	170245	354096
2000	RAJASTHAN 	JAISALMER	Wheat	Rabi	11003	26426
2000	RAJASTHAN 	JALORE	Wheat	Rabi	34339	43263
2000	RAJASTHAN 	JHALAWAR	Wheat	Rabi	45144	86361
2000	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	65926	165008
2000	RAJASTHAN 	JODHPUR	Wheat	Rabi	46851	101724
2000	RAJASTHAN 	KARAULI	Wheat	Rabi	61886	118884
2000	RAJASTHAN 	KOTA	Wheat	Rabi	96156	241324
2000	RAJASTHAN 	NAGAUR	Wheat	Rabi	91912	184326
2000	RAJASTHAN 	PALI	Wheat	Rabi	51527	74074
2000	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	3342	7208
2000	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	66197	111612
2000	RAJASTHAN 	SIKAR	Wheat	Rabi	86767	171194
2000	RAJASTHAN 	SIROHI	Wheat	Rabi	15218	25630
2000	RAJASTHAN 	TONK	Wheat	Rabi	70478	108495
2000	RAJASTHAN 	UDAIPUR	Wheat	Rabi	17488	38009
2001	RAJASTHAN 	AJMER	Wheat	Rabi	41551	75770
2001	RAJASTHAN 	ALWAR	Wheat	Rabi	174090	529816
2001	RAJASTHAN 	BANSWARA	Wheat	Rabi	55509	111895
2001	RAJASTHAN 	BAREN	Wheat	Rabi	67650	211353
2001	RAJASTHAN 	BARMER	Wheat	Rabi	12344	34477
2001	RAJASTHAN 	BHARATPUR	Wheat	Rabi	139114	473505
2001	RAJASTHAN 	BHILWARA	Wheat	Rabi	87685	193310
2001	RAJASTHAN 	BIKANER	Wheat	Rabi	44077	77209
2001	RAJASTHAN 	BUNDI	Wheat	Rabi	105005	307114
2001	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	79380	225705
2001	RAJASTHAN 	CHURU	Wheat	Rabi	11001	30726
2001	RAJASTHAN 	DAUSA	Wheat	Rabi	87432	291645
2001	RAJASTHAN 	DHOLPUR	Wheat	Rabi	44550	176784
2001	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	23541	71315
2001	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	213808	614195
2001	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	203752	639796
2001	RAJASTHAN 	JAIPUR	Wheat	Rabi	161348	496017
2001	RAJASTHAN 	JAISALMER	Wheat	Rabi	11448	31975
2001	RAJASTHAN 	JALORE	Wheat	Rabi	28665	37235
2001	RAJASTHAN 	JHALAWAR	Wheat	Rabi	48161	121599
2001	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	55425	138029
2001	RAJASTHAN 	JODHPUR	Wheat	Rabi	38463	104487
2001	RAJASTHAN 	KARAULI	Wheat	Rabi	55324	174640
2001	RAJASTHAN 	KOTA	Wheat	Rabi	79144	227185
2001	RAJASTHAN 	NAGAUR	Wheat	Rabi	69514	179307
2001	RAJASTHAN 	PALI	Wheat	Rabi	68178	113534
2001	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	15369	42099
2001	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	62102	116887
2001	RAJASTHAN 	SIKAR	Wheat	Rabi	82086	269379
2001	RAJASTHAN 	SIROHI	Wheat	Rabi	22526	51029
2001	RAJASTHAN 	TONK	Wheat	Rabi	60297	123635
2001	RAJASTHAN 	UDAIPUR	Wheat	Rabi	38959	97378
2002	RAJASTHAN 	AJMER	Wheat	Rabi	11244	23077
2002	RAJASTHAN 	ALWAR	Wheat	Rabi	181459	571450
2002	RAJASTHAN 	BANSWARA	Wheat	Rabi	49390	73141
2002	RAJASTHAN 	BAREN	Wheat	Rabi	39064	121097
2002	RAJASTHAN 	BARMER	Wheat	Rabi	15840	42911
2002	RAJASTHAN 	BHARATPUR	Wheat	Rabi	143611	472145
2002	RAJASTHAN 	BHILWARA	Wheat	Rabi	24416	50783
2002	RAJASTHAN 	BIKANER	Wheat	Rabi	30794	50307
2002	RAJASTHAN 	BUNDI	Wheat	Rabi	65862	161579
2002	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	36458	83117
2002	RAJASTHAN 	CHURU	Wheat	Rabi	12191	33026
2002	RAJASTHAN 	DAUSA	Wheat	Rabi	82714	264936
2002	RAJASTHAN 	DHOLPUR	Wheat	Rabi	44399	145417
2002	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	9536	17633
2002	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	154930	414538
2002	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	167298	523366
2002	RAJASTHAN 	JAIPUR	Wheat	Rabi	145798	425900
2002	RAJASTHAN 	JAISALMER	Wheat	Rabi	7486	20280
2002	RAJASTHAN 	JALORE	Wheat	Rabi	29446	44959
2002	RAJASTHAN 	JHALAWAR	Wheat	Rabi	21558	48080
2002	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	61244	209336
2002	RAJASTHAN 	JODHPUR	Wheat	Rabi	40643	80102
2002	RAJASTHAN 	KARAULI	Wheat	Rabi	52941	131287
2002	RAJASTHAN 	KOTA	Wheat	Rabi	50311	141770
2002	RAJASTHAN 	NAGAUR	Wheat	Rabi	85412	189465
2002	RAJASTHAN 	PALI	Wheat	Rabi	29431	61032
2002	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	1482	3158
2002	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	54227	82843
2002	RAJASTHAN 	SIKAR	Wheat	Rabi	84627	247138
2002	RAJASTHAN 	SIROHI	Wheat	Rabi	10087	24429
2002	RAJASTHAN 	TONK	Wheat	Rabi	39825	80975
2002	RAJASTHAN 	UDAIPUR	Wheat	Rabi	16935	38743
2003	RAJASTHAN 	AJMER	Wheat	Rabi	21595	42225
2003	RAJASTHAN 	ALWAR	Wheat	Rabi	188108	648794
2003	RAJASTHAN 	BANSWARA	Wheat	Rabi	69513	140615
2003	RAJASTHAN 	BAREN	Wheat	Rabi	55314	132471
2003	RAJASTHAN 	BARMER	Wheat	Rabi	13124	20140
2003	RAJASTHAN 	BHARATPUR	Wheat	Rabi	142184	535114
2003	RAJASTHAN 	BHILWARA	Wheat	Rabi	46401	76846
2003	RAJASTHAN 	BIKANER	Wheat	Rabi	35986	83088
2003	RAJASTHAN 	BUNDI	Wheat	Rabi	102994	264088
2003	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	65010	196663
2003	RAJASTHAN 	CHURU	Wheat	Rabi	11469	32044
2003	RAJASTHAN 	DAUSA	Wheat	Rabi	89144	281950
2003	RAJASTHAN 	DHOLPUR	Wheat	Rabi	44603	155008
2003	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	33573	72447
